Reveiw Id,Tag
2465,Shallow Fix
3287,Already Fixed
3772,Already Fixed
5958,Flawed Changes
6276,Not an Issue
7113,Legal Issues 
8642,Alternative Solution
8953,Already Fixed
9537,Shallow Fix
9878,Shallow Fix
10325,Already Fixed
10760,Already Fixed
12237,Unclear Intention
12651,Test Coverage
12657,Lost by an author 
16250,Patch size
16252,Patch size
16253,Patch size
16256,Patch size
16257,Patch size
16720,Already Fixed
16830,Lost by an author 
17333,Side Effect
18133,Shallow Fix
21382,Already Fixed
22175,Already Fixed
23562,Patch Dependency
24583,Alternative Solution
25438,Alternative Solution
25595,Lost by an author 
26709,Already Fixed
27861,Not an Issue
29468,Already Fixed
33395,Shallow Fix
33630,Unclear Intention
34030,Already Fixed
34339,Alternative Solution
35088,Lost by a reviewer 
35668,Release Schedule
35703,Side Effect
36287,Alternative Solution
37914,Release Schedule
38341,Already Fixed
45824,Legal Issues
46767,Alternative Solution
47304,Lost by an author 
47581,Unclear Intention
48246,Release Schedule
48388,Lost by an author 
48546,Already Fixed
50407,Shallow Fix
52804,Alternative Solution
53454,Legal Issues
54948,Test Failure
55148,Already Fixed
56602,Not an Issue
56930,Lost by an author 
57162,Alternative Solution
58303,Already Fixed
58458,Blueprint
58699,Lost by an author 
59285,Blueprint
60351,Already Fixed
61214,Already Fixed
61499,Already Fixed
61897,Not an Issue
62884,Blueprint
63690,Blueprint
64821,Lost by an author 
66190,Alternative Solution
67470,Alternative Solution
67607,Lost by an author 
67906,Alternative Solution
69102,Flawed Changes
70333,Already Fixed
72530,Already Fixed
72542,Release Schedule
72992,Alternative Solution
73847,Already Fixed
74039,Unclear Intention
75751,Lost by a reviewer 
76783,Lost by an author 
81973,Legal Issues
82320,Release Schedule
82482,Already Fixed
83151,Lost by an author 
83394,Not an Issue
83794,Not an Issue
84420,Release Schedule
84807,Alternative Solution
89524,Flawed Changes
